--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
403.729  000.785  000.785: sourcing C:\Users\Kristan\scoop\apps\neovim\current\share/nvim/runtime/plugin/net.lua
403.859  001.574  000.788: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
405.778  000.714  000.714: sourcing C:\Users\Kristan\scoop\apps\neovim\current\share/nvim/runtime/plugin/osc52.lua
405.834  001.887  001.173: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
408.104  001.606  001.606: sourcing C:\Users\Kristan\scoop\apps\neovim\current\share/nvim/runtime/plugin/rplugin.vim
408.177  002.307  000.701: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
409.885  000.685  000.685: sourcing C:\Users\Kristan\scoop\apps\neovim\current\share/nvim/runtime/plugin/shada.lua
409.967  001.732  001.047: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
411.734  000.686  000.686: sourcing C:\Users\Kristan\scoop\apps\neovim\current\share/nvim/runtime/plugin/spellfile.lua
411.803  001.790  001.104: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
413.674  000.934  000.934: require('krs.core.installer')
413.853  314.839  211.058: require('lazy_init')
413.889  338.954  000.425: sourcing C:\Users\Kristan\AppData\Local\nvim\init.lua
413.976  005.232: sourcing vimrc file(s)
416.132  000.493  000.493: sourcing C:\Users\Kristan\scoop\apps\neovim\current\share\nvim\runtime\filetype.lua
419.035  000.245  000.245: sourcing C:\Users\Kristan\scoop\apps\neovim\current\share\nvim\runtime\syntax\synload.vim
419.330  001.805  001.560: sourcing C:\Users\Kristan\scoop\apps\neovim\current\share/nvim/runtime/syntax/syntax.vim
419.396  003.122: inits 3
423.235  003.839: reading ShaDa
423.658  000.423: opening buffers
424.450  000.017  000.017: sourcing nvim_exec2() called at BufEnter Autocommands for "*":0
424.536  000.006  000.006: sourcing nvim_exec2() called at BufEnter Autocommands for "*":0
426.902  000.765  000.765: require('bufferline.state')
427.493  003.047: BufEnter autocommands
427.508  000.015: editing files in windows
427.532  000.024: --- NVIM STARTED ---

